,league,season,game,team,player,jersey_number,nation,pos,age,min,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,game_id
,,,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
2002,ENG-Premier League,2324,2023-09-30 Wolves-Manchester City,Manchester City,Oscar Bobb,52,NOR,"DM,LM",20-080,45,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,60ce29cd
2003,ENG-Premier League,2324,2023-09-30 Wolves-Manchester City,Manchester City,Phil Foden,47,ENG,"RW,AM,RM",23-125,90,2,1,1,0,1,1,2,50.0,1,0,0,0,0,2,1,0,60ce29cd
2004,ENG-Premier League,2324,2023-09-30 Wolves-Manchester City,Manchester City,Rúben Dias,3,POR,CB,26-139,90,1,0,0,0,1,0,0,,0,2,1,1,2,3,3,0,60ce29cd
2309,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Bernardo Silva,20,POR,"CM,RM",29-059,90,3,2,0,1,2,1,3,33.3,2,2,2,0,0,3,1,0,59cd18ae
2310,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Ederson,31,BRA,GK,30-052,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,59cd18ae
2311,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Erling Haaland,9,NOR,FW,23-079,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,59cd18ae
2312,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Jeremy Doku,11,BEL,LW,21-134,23,4,1,4,0,0,1,3,33.3,2,0,0,0,2,6,1,0,59cd18ae
2313,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,John Stones,5,ENG,CM,29-133,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,59cd18ae
2314,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Joško Gvardiol,24,CRO,LB,21-258,90,2,2,1,0,1,2,2,100.0,0,3,1,2,2,4,3,0,59cd18ae
2315,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Julián Álvarez,19,ARG,RW,23-250,67,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,59cd18ae
2316,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Kyle Walker,2,ENG,RB,33-133,90,2,1,1,0,1,0,0,,0,0,0,0,1,3,2,0,59cd18ae
2317,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Mateo Kovačić,8,CRO,LM,29-155,67,3,1,2,0,1,3,3,100.0,0,1,0,1,0,3,0,0,59cd18ae
2318,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Matheus Nunes,27,POR,LM,25-042,23,2,1,0,1,1,1,1,100.0,0,0,0,0,0,2,0,0,59cd18ae
2319,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Nathan Aké,6,NED,CB,28-232,90,3,2,3,0,0,2,2,100.0,0,1,0,1,0,3,2,0,59cd18ae
2320,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Phil Foden,47,ENG,"LW,RW",23-133,90,2,2,0,2,0,1,3,33.3,2,1,0,1,0,2,2,0,59cd18ae
2321,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Rico Lewis,82,ENG,RM,18-321,67,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,59cd18ae
2322,ENG-Premier League,2324,2023-10-08 Arsenal-Manchester City,Manchester City,Rúben Dias,3,POR,CB,26-147,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,59cd18ae
2545,ENG-Premier League,2324,2023-10-21 Manchester City-Brighton,Manchester City,Bernardo Silva,20,POR,"CM,DM",29-072,90,1,0,0,1,0,0,0,,0,3,0,3,0,1,1,0,b782a834
2546,ENG-Premier League,2324,2023-10-21 Manchester City-Brighton,Manchester City,Erling Haaland,9,NOR,FW,23-092,90,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,b782a834
